#FEM Eng Strain	FEM Eng Stress (Mpa)
0	0.016108777777778
1.61973333333333E-05	4.41595555555556
6.71113333333333E-05	14.755
0.000151162	32.3117222222222
0.000266929333333	57.0305555555556
0.000415370666667	87.68
0.000592800333333	125.2
0.000800246666667	168.923333333333
0.001037786666667	218.316666666667
0.00130288	274.305
0.001596683333333	335.453333333333
0.00191676	402.472222222222
0.002255416666667	474.405555555556
0.002711236666667	506.449444444444
0.003282696666667	513.393333333333
0.003861193333333	519.330555555556
0.004510586666667	520.863888888889
0.00518266	523.106666666667
0.005864443333333	526.336111111111
0.006589346666667	528.167777777778
0.007359	531.186666666667
0.008150533333333	531.714444444444
0.0089542	534.548888888889
0.009792266666667	535.620555555556
0.010679633333333	537.700555555556
0.011592233333333	538.562222222222
0.0125163	540.809444444445
0.013465033333333	541.724444444444
0.014436966666667	543.574444444444
0.015444233333333	544.517777777778
0.016476033333333	545.957222222222
0.017524833333333	547.055555555556
0.0186034	547.976111111111
0.019693266666667	549.049444444445
0.0207967	550.576111111111
0.021923433333333	551.62
0.0230785	552.687777777778
0.0242643	553.158888888889
0.0254729	554.252222222222
0.026697766666667	555.005
0.0279299	556.005555555556
0.0291741	556.811111111111
0.030442566666667	557.805555555556
0.031737833333333	558.438888888889
0.033054166666667	559.311111111111
0.034385366666667	559.838888888889
0.0357341	560.583333333333
0.037098766666667	561.083333333333
0.038476966666667	561.838888888889
0.039866166666667	562.316666666667
0.0412662	563.116666666667
0.042678333333333	563.644444444444
0.044108533333333	564.277777777778
0.045557	564.7
0.047027	565.272222222222
0.048515466666667	565.605555555556
0.050016366666667	566.094444444444
0.0515308	566.422222222222
0.053055366666667	566.838888888889
0.054594	567.216666666667
0.056145266666667	567.6
0.0577066	567.966666666667
0.059279066666667	568.316666666667
0.060861933333333	568.661111111111
0.062455733333333	568.961111111111
0.064065566666667	569.272222222222
0.0656885	569.494444444444
0.067325333333333	569.755555555556
0.068974666666667	569.911111111111
0.070633	570.144444444445
0.072304	570.272222222222
0.073987333333333	570.477777777778
0.075680666666667	570.577777777778
0.077388	570.75
0.079102666666667	570.844444444444
0.080831333333333	571.1
0.082568666666667	571.033333333333
0.084314333333333	571.038888888889
0.086074666666667	571.044444444444
0.087843	571.066666666667
0.089623	571.316666666667
0.091410666666667	571.016666666667
0.093211333333333	571.455555555556
0.095024	571.155555555556
0.096846	569.922222222222
0.098672	571.627777777778
0.100508666666667	571.422222222222
0.102352666666667	571.05
0.104203333333333	569.922222222222
0.106063333333333	567.594444444444
0.107926	567.638888888889
0.109792666666667	567.522222222222
0.111663333333333	568.222222222222
0.113543333333333	567.644444444445
0.115426666666667	565.922222222222
0.117318666666667	564.288888888889
0.119213333333333	562.666666666667
0.121115333333333	560.911111111111
0.123018666666667	559.755555555556
0.124929333333333	558.388888888889
0.126844	556.861111111111
0.128763333333333	554.994444444444
0.130686666666667	552.810555555556
0.132613	550.632222222222
0.134546	548.186666666667
0.136481333333333	545.537777777778
0.138416	542.824444444444
0.140362	539.876666666667
0.142317333333333	536.952777777778
0.144271333333333	533.692222222222
0.146226666666667	530.291666666667
0.148180666666667	526.584444444444
0.150141333333333	521.971111111111
0.152112666666667	517.359444444444
0.15408	515.603888888889
0.156057333333333	511.085555555556
0.158039333333333	503.942777777778
0.160018	500.890555555556
0.162	496.715
0.163992333333333	489.971111111111
0.16598	483.999444444444
0.167970666666667	480.201666666667
0.169970666666667	473.281111111111
0.171965333333333	466.591666666667
0.173956	461.806666666667
0.175953333333333	453.471111111111
0.177950666666667	448.06
0.179946666666667	439.180555555556
0.181944	433.463333333333
0.183946	424.711666666667
0.185941333333333	417.167222222222
0.187972666666667	394.656666666667
0.190147	331.482777777778
0.192289666666667	253.968333333333
0.194363666666667	219.691666666667
0.196487	156.931666666667
0.198624	45.3554444444444
0.200589333333333	57.6666666666667
0.20266	42.7663888888889
0.204690666666667	45.1761666666667
0.206627	74.8911111111111
0.208735666666667	17.9043333333333
0.210685	4.47656111111111
0.212653666666667	13.5984444444444
0.214735333333333	-49.7089444444444
0.216659333333333	-28.6656111111111
0.218564	25.6415
0.220625	10.7802222222222
0.222614666666667	-2.83701111111111
0.224510666666667	37.0755
0.226557	-17.2133888888889
0.228597666666667	-38.8595555555556
0.230472	18.7327777777778
0.232439	26.3660555555556
0.234521333333333	-19.7428888888889
0.236441666666667	18.4188333333333
0.238369	0.900983333333333
0.240465	-41.3552777777778
0.242420333333333	-18.1007222222222
0.244293333333333	30.1125
0.246346333333333	7.49888888888889
0.248364	22.459
0.250256666666667	23.3943333333333
0.252306333333333	-40.2261111111111
0.254332666666667	-49.1729444444444
0.256199333333333	43.4187222222222
0.258188666666667	25.2012222222222
0.26025	-5.46917777777778
0.262166	11.9446111111111
0.264159	-44.6624444444444
0.266215333333333	-46.7766666666667
0.268098	39.4291666666667
0.270047	50.7246111111111
0.272122	-30.0022222222222
0.274078	-11.8887222222222
0.276025333333333	-18.8341666666667
0.278067666666667	-38.0880555555556
0.280000333333333	41.2946111111111
0.281915333333333	42.3913333333333
0.283983666666667	-20.6105
0.285985666666667	-32.4213888888889
0.287907333333333	-5.17900555555556
0.289919666666667	-22.3067777777778
0.291891	34.1443333333333
0.293794666666667	56.4144444444445
0.295837666666667	-27.9762777777778
0.297876666666667	-30.7126111111111
0.299801666666667	-4.93804444444444
0.301797333333333	-1.08440555555556
0.303783333333333	34.5281111111111
0.305701	57.6583333333333
0.307711333333333	-34.3988333333333
0.309746333333333	-58.4866666666667
0.311696333333333	18.4274444444444
