#Strain	Stress
0	0.00578982693921
2.58498333333333E-05	5.55482582379333
0.000102486	21.7972951216239
0.000228644666667	48.4566676514098
0.00040322	85.2034219454205
0.000624773333333	131.711679415734
0.00089241	187.900094202548
0.00120484	253.501993356771
0.001560933333333	328.334525532672
0.001959846666667	412.112272865641
0.00240028	500.142640278025
0.00288117	508.772374970118
0.003401833333333	512.659292358074
0.003960933333333	516.167774659122
0.0045575	518.968901657539
0.005190966666667	521.373909686483
0.00586	523.778917715428
0.006564166666667	525.858542305162
0.0073026	527.835600376015
0.008074	529.734849363578
0.008877966666667	531.492627290615
0.0097132	533.193816793441
0.010579433333333	534.831344319032
0.0114759	536.352158219687
0.0124013	537.837604355212
0.013355433333333	539.269998843039
0.0143376	540.635194577116
0.015346466666667	541.957948993035
0.016382666666667	543.224114984744
0.017444233333333	544.440766105269
0.0185311	545.614975907636
0.019642	546.753817944871
0.020777733333333	547.850218663949
0.0219362	548.907714841381
0.023118333333333	549.922769700656
0.024322066666667	550.9024567948
0.025547533333333	551.846776123812
0.026794233333333	552.755727687692
0.028062466666667	553.63992181598
0.029350066666667	554.488748179137
0.030656633333333	555.305743553676
0.031983633333333	556.094444716109
0.0333288	556.851314889923
0.034691666666667	557.579890851633
0.036072666666667	558.280172601237
0.037471	558.95569691525
0.038886666666667	559.602927017157
0.040318333333333	560.228936459985
0.041766333333333	560.830188467221
0.04323	561.406683038865
0.044709666666667	561.958420174917
0.046203333333333	562.485399875377
0.047711666666667	562.991158916757
0.049233666666667	563.472160522546
0.050770666666667	563.935478245769
0.052320666666667	564.377575309914
0.053883666666667	564.798451714979
0.055459	565.201644237478
0.057048	565.583616100899
0.058648666666667	565.94436730524
0.060261	566.29097140353
0.061885666666667	566.61635484274
0.063521666666667	566.927591175897
0.065167666666667	567.217606849976
0.066824666666667	567.493475418002
0.068492666666667	567.751660103462
0.070171	567.992160906356
0.071859333333333	568.218514603198
0.073557666666667	568.427184417474
0.075264666666667	568.621707125697
0.076981	568.805619504381
0.078708	568.968311223986
0.080442333333333	569.123929390565
0.082185666666667	569.261863674578
0.083936666666667	569.385650852539
0.085696666666667	569.498827700959
0.087464	569.597857443328
0.089240333333333	569.682740079643
0.091023	569.75701238642
0.092813333333333	569.817137587143
0.094612	569.866652458327
0.096417	569.905556999972
0.098228666666667	569.930314435564
0.100047333333333	569.94799831813
0.101871333333333	569.951535094643
0.103703	569.944461541617
0.105541	569.930314435564
0.107385	569.902020223459
0.109233666666667	569.863115681814
0.111089666666667	569.817137587143
0.11295	569.75701238642
0.114817	569.68981363267
0.116689	569.61200454938
0.118565666666667	569.523585136552
0.120448	569.424555394183
0.122335666666667	569.314915322275
0.124226666666667	569.191128144315
0.126123333333333	569.056730636815
0.128024666666667	568.908186023263
0.12993	568.741957527145
0.131841	568.558045148461
0.133755333333333	568.349375334185
0.135673666666667	568.115948084316
0.137596333333333	567.843616292804
0.139523333333333	567.52530640662
0.141453666666667	567.143334543199
0.143388	566.588060630634
0.145326	566.220235873266
0.147267333333333	565.916073093135
0.149213	565.244085555636
0.151161	564.430626957611
0.153113	563.684367113336
0.155067333333333	562.88151884485
0.157025666666667	561.870000762088
0.158987666666667	560.837262020247
0.160952	559.709030312551
0.162919	558.464084979921
0.164889	557.159014446568
0.166861666666667	555.723083182228
0.168838	554.212879611111
0.170816	552.589499191574
0.172795666666667	550.867089029668
0.174776	549.049185901907
0.176755666666667	547.121642702239
0.178736	545.095069760202
0.180716	542.962393522771
0.182696	540.723613989945
0.184675666666667	538.375194385211
0.186656333333333	535.917134708569
0.188635666666667	533.34943496002
0.190615666666667	530.672095139563
0.192596	527.881578470685
0.194576333333333	524.977884953387
0.196556	521.957477811154
0.198536	518.820357043987
0.200515666666667	515.566522651886
0.202496333333333	512.188901081825
0.204476333333333	508.696334275086
0.206456333333333	505.079980290386
0.208436333333333	501.339839127727
0.210416333333333	497.477679175364
0.212396333333333	493.488195268527
0.214376333333333	489.36961901896
0.216356333333333	485.127255591433
0.218336333333333	480.754031432919
0.220316333333333	476.253483319931
0.222296333333333	471.6203060877
0.224276333333333	466.856268124483
0.226256	461.961369430279
0.228235666666667	456.937378393345
0.230215666666667	451.780758237167
0.232196333333333	446.48974057349
0.234175666666667	441.071398955339
0.236156	435.523964994458
0.238135666666667	429.847438690848
0.240116333333333	424.04005165625
0.242096	418.105340667179
0.244076333333333	412.027390229325
0.246056	399.15706049796
0.248036	266.515032020441
0.250016333333333	144.287749341204
0.251996	131.563842157484
0.253976	9.79262680961866
0.255956	11.1307308356051
0.257935666666667	31.2277913840608
0.259915666666667	-26.00574086239
0.261896333333333	-0.420605841661978
0.263876	8.21649772429706
0.265856	6.13666092797217
0.267835666666667	-14.1347980703471
0.269815666666667	12.5025933934095
0.271796	3.90730690455373
0.273776333333333	-35.9881157319394
0.275756	16.098610913158
0.277735666666667	8.02676734824895
0.279715666666667	-4.49745343353848
0.281696333333333	-14.5232952864345
0.283676333333333	6.09780943797518
0.285656	-12.1734609710955
0.287636	-19.0644632776755
0.289615666666667	38.4093929328441
0.291596333333333	-6.84007272479065
0.293576333333333	-18.512018786321
0.295556	-7.21300812422009
0.297536	14.3704888571837
0.299515666666667	-2.13925464174586
0.301495666666667	-0.978270615149927
0.303476333333333	34.3962126233691
0.305456	-30.2014188399437
0.307436	-8.7863431560963
0.309415666666667	14.2456936979171
0.311395666666667	16.5440855988723
0.313376333333333	-0.254407408144138
0.315356333333333	-2.45020803278229
0.317336	15.4705324560697
0.319315666666667	-36.7920250333791
