Step	dt	Time	fEnd_x	fEnd_y	fEnd_z	dy_tip	
0	1e-16	0	0	0	0	-2.38419e-08	
1	1e-16	0	0	-500	0	-2.38419e-08	
2	0.000698212	1e-16	0	-500	0	-0.000132677	
3	0.000698212	0.000698212	0	-500	0	-0.000302532	
4	0.000698042	0.00139642	0	-500	0	-0.000502047	
5	0.000697828	0.00209447	0	-500	0	-0.000720069	
6	0.000697563	0.00279229	0	-500	0	-0.000946474	
7	0.000697259	0.00348986	0	-500	0	-0.00117307	
8	0.00069694	0.00418712	0	-500	0	-0.00139382	
9	0.000696633	0.00488406	0	-500	0	-0.00160476	
10	0.000696361	0.00558069	0	-500	0	-0.00180368	
11	0.000696138	0.00627705	0	-500	0	-0.00198975	
12	0.000695968	0.00697319	0	-500	0	-0.00216312	
13	0.000695845	0.00766916	0	-500	0	-0.00232459	
14	0.000695757	0.008365	0	-500	0	-0.0024753	
15	0.000695691	0.00906076	0	-500	0	-0.0026165	
16	0.000695632	0.00975645	0	-500	0	-0.00274939	
17	0.000695571	0.0104521	0	-500	0	-0.00287496	
18	0.000695502	0.0111477	0	-500	0	-0.00299394	
19	0.000695423	0.0118432	0	-500	0	-0.00310671	
20	0.000695338	0.0125386	0	-500	0	-0.00321332	
21	0.00069525	0.0132339	0	-500	0	-0.00331351	
22	0.000695166	0.0139292	0	-500	0	-0.00340675	
23	0.000695091	0.0146243	0	-500	0	-0.00349238	
24	0.000695027	0.0153194	0	-500	0	-0.00356966	
25	0.000694978	0.0160144	0	-500	0	-0.00363795	
26	0.000694942	0.0167094	0	-500	0	-0.00369679	
27	0.000694918	0.0174044	0	-500	0	-0.00374597	
28	0.000694905	0.0180993	0	-500	0	-0.00378563	
29	0.0006949	0.0187942	0	-500	0	-0.00381626	
30	0.0006949	0.0194891	0	-500	0	-0.00383867	
31	0.000694904	0.020184	0	-500	0	-0.00385395	
32	0.00069491	0.0208789	0	-500	0	-0.00386341	
33	0.000694917	0.0215738	0	-500	0	-0.00386845	
34	0.000694925	0.0222687	0	-500	0	-0.0038705	
35	0.000694934	0.0229636	0	-500	0	-0.00387089	
36	0.000694942	0.0236586	0	-500	0	-0.00387083	
37	0.00069495	0.0243535	0	-500	0	-0.0038713	
38	0.000694959	0.0250485	0	-500	0	-0.00387305	
39	0.000694966	0.0257434	0	-500	0	-0.00387662	
40	0.000694973	0.0264384	0	-500	0	-0.00388229	
41	0.000694978	0.0271334	0	-500	0	-0.00389016	
42	0.000694983	0.0278283	0	-500	0	-0.00390019	
43	0.000694986	0.0285233	0	-500	0	-0.00391219	
44	0.000694988	0.0292183	0	-500	0	-0.00392593	
45	0.000694989	0.0299133	0	-500	0	-0.00394113	
46	0.000694989	0.0306083	0	-500	0	-0.00395752	
47	0.000694987	0.0313033	0	-500	0	-0.00397483	
48	0.000694985	0.0319983	0	-500	0	-0.00399285	
49	0.000694982	0.0326933	0	-500	0	-0.0040114	
50	0.000694977	0.0333882	0	-500	0	-0.00403034	
51	0.000694972	0.0340832	0	-500	0	-0.00404957	
52	0.000694966	0.0347782	0	-500	0	-0.004069	
53	0.000694959	0.0354732	0	-500	0	-0.00408859	
54	0.000694951	0.0361681	0	-500	0	-0.00410828	
55	0.000694942	0.0368631	0	-500	0	-0.00412802	
56	0.000694933	0.037558	0	-500	0	-0.00414775	
57	0.000694924	0.0382529	0	-500	0	-0.00416739	
58	0.000694915	0.0389479	0	-500	0	-0.00418687	
59	0.000694906	0.0396428	0	-500	0	-0.00420608	
60	0.000694898	0.0403377	0	-500	0	-0.00422494	
61	0.00069489	0.0410326	0	-500	0	-0.00424333	
62	0.000694884	0.0417275	0	-500	0	-0.00426116	
63	0.000694878	0.0424224	0	-500	0	-0.00427833	
64	0.000694873	0.0431172	0	-500	0	-0.00429479	
65	0.000694869	0.0438121	0	-500	0	-0.00431047	
66	0.000694866	0.044507	0	-500	0	-0.00432534	
67	0.000694863	0.0452018	0	-500	0	-0.0043394	
68	0.000694861	0.0458967	0	-500	0	-0.00435267	
69	0.000694859	0.0465916	0	-500	0	-0.00436519	
70	0.000694857	0.0472864	0	-500	0	-0.00437705	
71	0.000694855	0.0479813	0	-500	0	-0.00438831	
72	0.000694853	0.0486761	0	-500	0	-0.00439911	
73	0.00069485	0.049371	0	-500	0	-0.00440956	
74	0.000694848	0.0500658	0	-500	0	-0.00441982	
75	0.000694845	0.0507607	0	-500	0	-0.00443005	
76	0.000694842	0.0514555	0	-500	0	-0.00444043	
77	0.000694839	0.0521504	0	-500	0	-0.00445115	
78	0.000694835	0.0528452	0	-500	0	-0.00446243	
79	0.000694832	0.05354	0	-500	0	-0.00447449	
80	0.000694828	0.0542349	0	-500	0	-0.00448756	
81	0.000694825	0.0549297	0	-500	0	-0.0045019	
82	0.000694822	0.0556245	0	-500	0	-0.00451777	
83	0.000694818	0.0563194	0	-500	0	-0.00453542	
84	0.000694815	0.0570142	0	-500	0	-0.00455509	
85	0.000694813	0.057709	0	-500	0	-0.00457702	
86	0.00069481	0.0584038	0	-500	0	-0.00460144	
87	0.000694809	0.0590986	0	-500	0	-0.00462852	
88	0.000694807	0.0597934	0	-500	0	-0.0046584	
89	0.000694806	0.0604882	0	-500	0	-0.00469119	
90	0.000694805	0.061183	0	-500	0	-0.00472693	
91	0.000694805	0.0618778	0	-500	0	-0.00476561	
92	0.000694805	0.0625726	0	-500	0	-0.00480717	
93	0.000694806	0.0632674	0	-500	0	-0.00485148	
94	0.000694806	0.0639623	0	-500	0	-0.00489838	
95	0.000694808	0.0646571	0	-500	0	-0.00494763	
96	0.000694809	0.0653519	0	-500	0	-0.00499899	
97	0.00069481	0.0660467	0	-500	0	-0.00505216	
98	0.000694812	0.0667415	0	-500	0	-0.00510687	
99	0.000694813	0.0674363	0	-500	0	-0.00516279	
100	0.000694815	0.0681311	0	-500	0	-0.00521964	
101	0.000694816	0.0688259	0	-500	0	-0.00527715	
102	0.000694816	0.0695207	0	-500	0	-0.00533506	
103	0.000694817	0.0702156	0	-500	0	-0.00539317	
104	0.000694817	0.0709104	0	-500	0	-0.0054513	
105	0.000694816	0.0716052	0	-500	0	-0.00550932	
106	0.000694815	0.0723	0	-500	0	-0.00556714	
107	0.000694813	0.0729948	0	-500	0	-0.00562473	
108	0.000694811	0.0736896	0	-500	0	-0.00568206	
109	0.000694808	0.0743844	0	-500	0	-0.00573918	
110	0.000694804	0.0750793	0	-500	0	-0.00579611	
111	0.0006948	0.0757741	0	-500	0	-0.00585294	
112	0.000694796	0.0764689	0	-500	0	-0.00590975	
113	0.000694791	0.0771637	0	-500	0	-0.00596662	
114	0.000694786	0.0778584	0	-500	0	-0.00602364	
115	0.000694781	0.0785532	0	-500	0	-0.00608091	
116	0.000694776	0.079248	0	-500	0	-0.0061385	
117	0.000694771	0.0799428	0	-500	0	-0.00619648	
118	0.000694766	0.0806376	0	-500	0	-0.00625494	
119	0.000694762	0.0813323	0	-500	0	-0.00631392	
120	0.000694758	0.0820271	0	-500	0	-0.00637349	
121	0.000694754	0.0827218	0	-500	0	-0.00643369	
122	0.000694751	0.0834166	0	-500	0	-0.00649457	
123	0.000694748	0.0841114	0	-500	0	-0.0065562	
124	0.000694746	0.0848061	0	-500	0	-0.00661861	
