Step	dt	Time	fEnd_x	fEnd_y	fEnd_z	dy_tip	
110	0.00139327	0.150509	0	-500	0	-0.0111953	
111	0.00139327	0.151902	0	-500	0	-0.0113381	
112	0.00139327	0.153296	0	-500	0	-0.0114846	
113	0.00139326	0.154689	0	-500	0	-0.0116345	
114	0.00139326	0.156082	0	-500	0	-0.0117875	
115	0.00139326	0.157476	0	-500	0	-0.0119432	
116	0.00139326	0.158869	0	-500	0	-0.0121012	
117	0.00139325	0.160262	0	-500	0	-0.012261	
118	0.00139325	0.161655	0	-500	0	-0.0124221	
119	0.00139325	0.163049	0	-500	0	-0.0125841	
120	0.00139325	0.164442	0	-500	0	-0.0127466	
121	0.00139324	0.165835	0	-500	0	-0.0129092	
122	0.00139324	0.167228	0	-500	0	-0.0130714	
123	0.00139324	0.168622	0	-500	0	-0.013233	
124	0.00139323	0.170015	0	-500	0	-0.0133937	
125	0.00139323	0.171408	0	-500	0	-0.0135533	
126	0.00139323	0.172801	0	-500	0	-0.0137115	
127	0.00139322	0.174194	0	-500	0	-0.0138682	
128	0.00139322	0.175588	0	-500	0	-0.0140235	
129	0.00139321	0.176981	0	-500	0	-0.0141771	
130	0.00139321	0.178374	0	-500	0	-0.0143293	
131	0.0013932	0.179767	0	-500	0	-0.0144799	
132	0.0013932	0.18116	0	-500	0	-0.014629	
133	0.00139319	0.182554	0	-500	0	-0.0147768	
134	0.00139319	0.183947	0	-500	0	-0.0149234	
135	0.00139318	0.18534	0	-500	0	-0.0150688	
136	0.00139318	0.186733	0	-500	0	-0.0152133	
137	0.00139317	0.188126	0	-500	0	-0.015357	
138	0.00139317	0.18952	0	-500	0	-0.0155001	
139	0.00139317	0.190913	0	-500	0	-0.0156428	
140	0.00139316	0.192306	0	-500	0	-0.0157852	
141	0.00139316	0.193699	0	-500	0	-0.0159276	
142	0.00139316	0.195092	0	-500	0	-0.0160701	
143	0.00139316	0.196485	0	-500	0	-0.0162129	
144	0.00139316	0.197879	0	-500	0	-0.0163564	
145	0.00139316	0.199272	0	-500	0	-0.0165006	
146	0.00139316	0.200665	0	-500	0	-0.0166457	
147	0.00139316	0.202058	0	-500	0	-0.016792	
148	0.00139316	0.203451	0	-500	0	-0.0169396	
149	0.00139317	0.204844	0	-500	0	-0.0170887	
150	0.00139317	0.206238	0	-500	0	-0.0172394	
151	0.00139317	0.207631	0	-500	0	-0.0173918	
152	0.00139318	0.209024	0	-500	0	-0.0175461	
153	0.00139318	0.210417	0	-500	0	-0.0177022	
154	0.00139318	0.21181	0	-500	0	-0.0178603	
155	0.00139319	0.213203	0	-500	0	-0.0180202	
156	0.00139319	0.214597	0	-500	0	-0.0181821	
157	0.0013932	0.21599	0	-500	0	-0.0183458	
158	0.0013932	0.217383	0	-500	0	-0.0185114	
159	0.0013932	0.218776	0	-500	0	-0.0186786	
160	0.00139321	0.220169	0	-500	0	-0.0188474	
161	0.00139321	0.221563	0	-500	0	-0.0190176	
162	0.00139321	0.222956	0	-500	0	-0.0191891	
163	0.00139321	0.224349	0	-500	0	-0.0193619	
164	0.00139321	0.225742	0	-500	0	-0.0195356	
165	0.00139322	0.227135	0	-500	0	-0.0197102	
166	0.00139322	0.228529	0	-500	0	-0.0198855	
167	0.00139321	0.229922	0	-500	0	-0.0200613	
168	0.00139321	0.231315	0	-500	0	-0.0202376	
169	0.00139321	0.232708	0	-500	0	-0.0204142	
170	0.00139321	0.234102	0	-500	0	-0.0205909	
171	0.00139321	0.235495	0	-500	0	-0.0207677	
172	0.0013932	0.236888	0	-500	0	-0.0209444	
173	0.0013932	0.238281	0	-500	0	-0.021121	
174	0.0013932	0.239674	0	-500	0	-0.0212974	
175	0.00139319	0.241068	0	-500	0	-0.0214735	
176	0.00139319	0.242461	0	-500	0	-0.0216493	
177	0.00139318	0.243854	0	-500	0	-0.0218247	
178	0.00139318	0.245247	0	-500	0	-0.0219997	
179	0.00139318	0.24664	0	-500	0	-0.0221742	
180	0.00139317	0.248033	0	-500	0	-0.0223482	
181	0.00139317	0.249427	0	-500	0	-0.0225217	
182	0.00139316	0.25082	0	-500	0	-0.0226948	
183	0.00139316	0.252213	0	-500	0	-0.0228673	
184	0.00139315	0.253606	0	-500	0	-0.0230394	
185	0.00139315	0.254999	0	-500	0	-0.0232111	
186	0.00139314	0.256392	0	-500	0	-0.0233825	
187	0.00139314	0.257786	0	-500	0	-0.0235535	
188	0.00139314	0.259179	0	-500	0	-0.0237242	
189	0.00139314	0.260572	0	-500	0	-0.0238948	
190	0.00139313	0.261965	0	-500	0	-0.0240653	
191	0.00139313	0.263358	0	-500	0	-0.0242358	
192	0.00139313	0.264751	0	-500	0	-0.0244065	
193	0.00139313	0.266144	0	-500	0	-0.0245774	
194	0.00139313	0.267538	0	-500	0	-0.0247486	
195	0.00139313	0.268931	0	-500	0	-0.0249204	
196	0.00139313	0.270324	0	-500	0	-0.0250929	
197	0.00139313	0.271717	0	-500	0	-0.025266	
198	0.00139313	0.27311	0	-500	0	-0.0254401	
199	0.00139313	0.274503	0	-500	0	-0.0256153	
200	0.00139313	0.275896	0	-500	0	-0.0257916	
201	0.00139313	0.277289	0	-500	0	-0.0259691	
202	0.00139313	0.278683	0	-500	0	-0.026148	
203	0.00139314	0.280076	0	-500	0	-0.0263284	
204	0.00139314	0.281469	0	-500	0	-0.0265103	
205	0.00139314	0.282862	0	-500	0	-0.0266939	
206	0.00139314	0.284255	0	-500	0	-0.0268791	
207	0.00139315	0.285648	0	-500	0	-0.027066	
208	0.00139315	0.287041	0	-500	0	-0.0272547	
209	0.00139315	0.288435	0	-500	0	-0.0274451	
210	0.00139315	0.289828	0	-500	0	-0.0276371	
211	0.00139316	0.291221	0	-500	0	-0.0278309	
212	0.00139316	0.292614	0	-500	0	-0.0280263	
213	0.00139316	0.294007	0	-500	0	-0.0282233	
214	0.00139316	0.2954	0	-500	0	-0.0284217	
215	0.00139317	0.296793	0	-500	0	-0.0286215	
216	0.00139317	0.298187	0	-500	0	-0.0288225	
217	0.00139317	0.29958	0	-500	0	-0.0290247	
218	0.00139317	0.300973	0	-500	0	-0.0292278	
219	0.00139317	0.302366	0	-500	0	-0.0294317	
220	0.00139317	0.303759	0	-500	0	-0.0296362	
221	0.00139317	0.305152	0	-500	0	-0.0298412	
222	0.00139317	0.306546	0	-500	0	-0.0300465	
223	0.00139317	0.307939	0	-500	0	-0.0302519	
224	0.00139317	0.309332	0	-500	0	-0.0304572	
225	0.00139317	0.310725	0	-500	0	-0.0306622	
226	0.00139317	0.312118	0	-500	0	-0.0308668	
